prompt,completion,
雞胸肉、辣椒、蒜頭、青蔥,"xo醬炒雞肉
 食材：雞胸肉，辣椒，蒜頭，青蔥
 調味料：xo醬，鹽，香油
 作法：1.將雞胸肉切小丁備用。2.辣椒和蒜頭洗淨，切片狀；青蔥洗淨，切段備用。3.起一個炒鍋，將xo醬以小火先爆香，加入作法1的雞肉丁炒香，再加入作法2的材料與調味料一起翻炒均勻即可。",
去骨雞腿肉、花香菇、青蔥、薑、清水,"XO醬蒸雞
 食材：去骨雞腿肉，花香菇，青蔥，薑，清水
 調味料：港式XO醬，蠔油，鹽，糖，雞粉，太白粉，麻油，胡椒粉，米酒
 作法：1.花香菇用冷水浸泡約1小時。2.將作法1泡軟後的花香菇去梗並切成片狀備用。3.將去骨雞腿肉用清水洗淨並切成塊狀備用。4.青蔥切段；薑切片，備用。5.將作法3切好的雞腿肉拌入所有調味料與100㏄清水，再加入作法2的花香菇片與作法4的蔥段、薑片後，放入電鍋蒸約12分鐘即可。6.起鍋後再淋上一點熱油即完成。",
雞肉、薑片、水、狗尾草,"九尾雞
 食材：雞肉，薑片，水，狗尾草
 調味料：鹽，米酒
 作法：1.雞肉塊放入沸水中汆燙去血水備用。2.將狗尾草、所有材料與米酒放入電鍋中，外鍋加一杯水，蓋上鍋蓋，按下開關，待開關跳起，續燜30分鐘後，加入鹽調味即可。",
土雞、薑片、保鮮膜、人蔘、枸杞、紅棗,"人蔘枸杞雞湯
 食材：土雞，薑片，保鮮膜，人蔘，枸杞，紅棗
 調味料：鹽，米酒
 作法：1.把土雞用滾水汆燙5分鐘後撈起，用清水沖洗去血水髒污，瀝乾後放入電鍋內鍋中備用。2.將所有藥材用冷水清洗後放在土雞上，再把薑片、鹽、料理米酒與5碗水一並放入，在鍋口封上保鮮膜。3.開電鍋燉煮約90分鐘即可。",
土雞腿、人蔘鬚、紅棗、水,"人蔘紅棗雞湯
 食材：土雞腿，人蔘鬚，紅棗，水
 調味料：鹽，米酒
 作法：1.將土雞腿剁小塊備用。2.取一湯鍋，加入適量份量外的水煮至滾沸後，將作法1的土雞塊放入滾水中汆燙約1分鐘後取出，洗淨再放入電鍋內鍋中。3.將人蔘、紅棗用清水略沖洗後，和水加入作法2的電鍋內鍋中。4.電鍋外鍋先加入2杯水後，放入作法3的電鍋內鍋，蓋上鍋蓋、按下電鍋開關，待電鍋開關跳起，燜約20分鐘後，再加入鹽及米酒調味即可。",
雞肉塊、白米、薑絲、水、蔘鬚、紅棗,"人蔘紅棗雞粥
 食材：雞肉塊，白米，薑絲，水，蔘鬚，紅棗
 調味料：鹽，白胡椒粉
 作法：1.白米洗淨；雞肉塊放入沸水中汆燙去血水；所有中藥材稍微清洗後瀝乾，備用。2.將所有材料、中藥材放入電鍋內鍋，外鍋加一杯水，蓋上鍋蓋，按下開關，待開關跳起，續燜30分鐘後，加入所有調味料拌勻即可。",
棒棒腿、薑、蔘鬚、紅棗、清湯,"人蔘燉雞湯
 食材：棒棒腿，薑，蔘鬚，紅棗，清湯
 調味料：米酒，香油，雞粉，鹽
 作法：1.棒棒腿洗淨切成塊狀，放入滾水中汆燙，撈起瀝乾備用。2.山藥洗淨去皮，切成小塊狀；薑洗淨切成片狀備用。3.取一個小燉盅，放入作法1的棒棒腿塊，再依序加入作法2的山藥塊和薑片、蔘鬚、紅棗。4.在作法3的燉盅，加入所有的調味料後，續倒入清湯蓋過主體約1/3之高度，再包覆耐熱保鮮膜。5.作法3的燉盅放入電鍋中，外鍋加入2又1/2杯水，蒸約35分鐘即可。",
人蔘、紅棗、板栗、土雞、米酒、牙籤、松子、蔥花、糯米,"人蔘雞
 食材：人蔘，紅棗，板栗，土雞，米酒，牙籤，松子，蔥花，糯米
 調味料：鹽
 作法：1.先將雞內臟清除乾淨，由尾端將一半紅棗、全部板栗及糯米塞入雞肚內，最後放入人蔘，再用牙籤從尾端固定住。2.將雞放入冷水中加熱煮1.5小時，加少許鹽，再放入剩餘的紅棗及松子、蔥花即可。3.食用前淋點酒，可增加香味。其湯汁非常鮮美，雞肉可沾胡椒鹽食用。",
仿土雞、蔘鬚、紅棗、薑片、水,"人蔘雞
 食材：仿土雞，蔘鬚，紅棗，薑片，水
 調味料：米酒，鹽
 作法：1.仿土雞剁塊、放入滾水中汆燙約2分鐘，再撈出洗淨瀝乾，備用。2.蔘鬚洗淨，泡水30分鐘後瀝乾；紅棗洗淨、瀝乾，備用。3.取一湯鍋，放入作法1的雞塊、作法2的蔘鬚、紅棗、薑片，再加入水以大火煮滾後，轉小火蓋上蓋子，續燉煮約1.5小時，再加入米酒及鹽拌勻煮滾即可。",
雞肉、蔘鬚、紅棗、黃耆、枸杞、水、米酒,"人蔘雞湯
 食材：雞肉，蔘鬚，紅棗，黃耆，枸杞，水，米酒
 調味料：鹽，雞粉
 作法：1.雞肉洗淨，放入滾水中略汆燙後，撈起沖水搓洗乾淨，瀝乾備用。2.藥材材料洗淨，瀝乾備用。3.取鍋，放入作法1的雞肉、水、米酒和作法2的藥材，以大火煮至滾沸。4.改轉小火煮約60分鐘，再加入調味料拌勻即可。",
蝦仁、雞胗、雞肝、透抽、豬肉片、雞蛋豆腐、泡發香菇、鮮魚片、大白菜、薑末、蒜末、水,"八珍豆腐煲
 食材：蝦仁，雞胗，雞肝，透抽，豬肉片，雞蛋豆腐，泡發香菇，鮮魚片，大白菜，薑末，蒜末，水
 調味料：A.蠔油，醬油，糖，鹽，胡椒粉，香油，B.太白粉水
 作法：1.把雞胗切花、雞肝切片、透抽切小塊、香菇切片，把所有材料放入滾水中汆燙去髒，撈出備用。2.將大白菜洗淨切大段，放入滾水中汆燙至軟，撈出置砂鍋底。3.把雞蛋豆腐切成5等份，放入油鍋中炸透，撈出備用。4.原鍋留少許油，放入薑末、蒜末爆香，加入水與所有調味料A調味，接著放入作法1的材料與作法3的雞蛋豆腐煮約3分鐘，再以太白粉水勾芡，盛入砂鍋加熱即可食用。",
雞胸肉、香菇、青椒、胡蘿蔔、蒜頭、辣椒,"三色炒雞絲
 食材：雞胸肉，香菇，青椒，胡蘿蔔，蒜頭，辣椒
 調味料：鹽，糖，酒，胡椒粉，水
 醃料：醬油，香油，太白粉
 作法：1.蒜頭去膜洗淨切絲；香菇洗淨泡水至軟後切絲；辣椒去籽洗淨，切絲備用。2.青椒去籽洗淨切絲、胡蘿蔔洗淨切絲，皆以燙熟減菌動作處理後泡涼備用。3.雞胸肉洗淨去皮、雞油、內臟、筋等，先切薄片再切絲，加入醃料以筷子拌醃15～20分鐘後，過油泡熟備用。4.鍋中放入2大匙沙拉油，以中火油溫140℃爆香作法1的材料，再加入作法2、作法3的材料和所有調味料一起炒熟即可。",
去骨烏骨雞腿、老薑、蒜仁、辣椒、九層塔,"三杯烏骨雞
 食材：去骨烏骨雞腿，老薑，蒜仁，辣椒，九層塔
 調味料：胡麻油，醬油，冰糖，米酒
 醃料：醬油，米酒
 作法：1.將去骨的烏骨雞腿洗淨、切塊。2.作法1的烏骨雞腿塊用醃料拌勻後一起醃漬約10分鐘備用。3.老薑切片；辣椒切段；九層塔取嫩葉、洗淨、瀝乾。4.起油鍋加熱至160℃，將作法2的烏骨雞腿放入鍋中，以中火炸至表面微焦，取出、瀝乾油份。5.取鍋倒入胡麻油加熱，將作法3的老薑片、蒜仁放入以小火爆香，至薑片微焦後放入作法3的辣椒段，續炒約30秒。6.將作法4炸好的烏骨雞腿肉放入作法5鍋中，以中火炒香後，再把所有調味料放入略微拌炒，蓋上鍋蓋，燜煮約5分鐘。7.打開作法5的鍋蓋炒至湯汁收乾，再放入作法3的九層塔，略微拌炒入味即可。",
